,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
0,27,26,5,5,22,20,20,data/Train/20/00020_00000_00000.png
1,28,27,5,6,23,22,20,data/Train/20/00020_00000_00001.png
2,29,26,6,5,24,21,20,data/Train/20/00020_00000_00002.png
3,28,27,5,6,23,22,20,data/Train/20/00020_00000_00003.png
4,28,26,5,5,23,21,20,data/Train/20/00020_00000_00004.png
5,31,27,6,5,26,22,20,data/Train/20/00020_00000_00005.png
6,31,28,6,6,26,23,20,data/Train/20/00020_00000_00006.png
7,31,28,6,6,26,23,20,data/Train/20/00020_00000_00007.png
8,31,29,5,6,26,24,20,data/Train/20/00020_00000_00008.png
9,34,32,6,6,29,26,20,data/Train/20/00020_00000_00009.png
10,36,33,5,6,31,28,20,data/Train/20/00020_00000_00010.png
11,37,34,5,6,32,29,20,data/Train/20/00020_00000_00011.png
12,38,34,5,6,32,29,20,data/Train/20/00020_00000_00012.png
13,40,34,6,6,34,29,20,data/Train/20/00020_00000_00013.png
14,39,34,5,5,34,29,20,data/Train/20/00020_00000_00014.png
15,42,36,6,5,37,31,20,data/Train/20/00020_00000_00015.png
16,45,39,6,5,40,34,20,data/Train/20/00020_00000_00016.png
17,47,42,5,5,41,36,20,data/Train/20/00020_00000_00017.png
18,50,45,5,5,45,40,20,data/Train/20/00020_00000_00018.png
19,55,49,6,5,49,43,20,data/Train/20/00020_00000_00019.png
20,56,51,6,6,51,46,20,data/Train/20/00020_00000_00020.png
21,59,54,5,5,54,49,20,data/Train/20/00020_00000_00021.png
22,64,57,6,5,59,52,20,data/Train/20/00020_00000_00022.png
23,70,61,6,5,64,56,20,data/Train/20/00020_00000_00023.png
24,76,69,6,6,70,63,20,data/Train/20/00020_00000_00024.png
25,86,75,8,6,79,69,20,data/Train/20/00020_00000_00025.png
26,97,87,8,7,89,80,20,data/Train/20/00020_00000_00026.png
27,111,100,9,8,102,92,20,data/Train/20/00020_00000_00027.png
28,131,119,12,11,120,109,20,data/Train/20/00020_00000_00028.png
29,166,152,15,14,152,139,20,data/Train/20/00020_00000_00029.png
30,29,31,5,6,24,26,20,data/Train/20/00020_00001_00000.png
31,31,30,6,5,25,25,20,data/Train/20/00020_00001_00001.png
32,31,31,5,6,26,26,20,data/Train/20/00020_00001_00002.png
33,33,31,6,5,28,25,20,data/Train/20/00020_00001_00003.png
34,34,32,5,6,29,27,20,data/Train/20/00020_00001_00004.png
35,36,33,6,6,30,27,20,data/Train/20/00020_00001_00005.png
36,37,34,6,6,32,29,20,data/Train/20/00020_00001_00006.png
37,37,34,5,5,31,28,20,data/Train/20/00020_00001_00007.png
38,38,36,5,6,33,31,20,data/Train/20/00020_00001_00008.png
39,38,35,5,5,33,30,20,data/Train/20/00020_00001_00009.png
40,40,37,5,6,35,32,20,data/Train/20/00020_00001_00010.png
41,41,37,5,5,36,31,20,data/Train/20/00020_00001_00011.png
42,43,39,5,6,37,33,20,data/Train/20/00020_00001_00012.png
43,44,39,6,6,39,34,20,data/Train/20/00020_00001_00013.png
44,44,39,5,5,39,34,20,data/Train/20/00020_00001_00014.png
45,45,41,5,6,40,35,20,data/Train/20/00020_00001_00015.png
46,47,41,6,6,42,36,20,data/Train/20/00020_00001_00016.png
47,44,42,5,6,39,37,20,data/Train/20/00020_00001_00017.png
48,45,42,5,6,40,37,20,data/Train/20/00020_00001_00018.png
49,50,42,6,5,45,37,20,data/Train/20/00020_00001_00019.png
50,50,43,5,5,45,38,20,data/Train/20/00020_00001_00020.png
51,51,44,5,5,46,39,20,data/Train/20/00020_00001_00021.png
52,54,46,6,6,48,41,20,data/Train/20/00020_00001_00022.png
53,55,47,6,5,50,42,20,data/Train/20/00020_00001_00023.png
54,57,49,6,6,51,44,20,data/Train/20/00020_00001_00024.png
55,59,51,6,6,53,46,20,data/Train/20/00020_00001_00025.png
56,59,52,5,6,54,47,20,data/Train/20/00020_00001_00026.png
57,63,54,6,5,58,48,20,data/Train/20/00020_00001_00027.png
58,65,56,6,6,59,51,20,data/Train/20/00020_00001_00028.png
59,69,58,6,5,63,53,20,data/Train/20/00020_00001_00029.png
60,33,32,5,5,28,27,20,data/Train/20/00020_00002_00000.png
61,33,33,5,6,28,28,20,data/Train/20/00020_00002_00001.png
62,35,35,6,6,30,29,20,data/Train/20/00020_00002_00002.png
63,35,35,5,6,30,30,20,data/Train/20/00020_00002_00003.png
64,36,34,6,5,31,29,20,data/Train/20/00020_00002_00004.png
65,36,36,5,6,31,31,20,data/Train/20/00020_00002_00005.png
66,38,37,6,6,33,32,20,data/Train/20/00020_00002_00006.png
67,38,37,6,6,33,32,20,data/Train/20/00020_00002_00007.png
68,38,37,5,5,33,32,20,data/Train/20/00020_00002_00008.png
69,39,39,5,6,34,34,20,data/Train/20/00020_00002_00009.png
70,41,40,5,6,36,35,20,data/Train/20/00020_00002_00010.png
71,43,40,6,6,38,35,20,data/Train/20/00020_00002_00011.png
72,44,41,6,6,39,36,20,data/Train/20/00020_00002_00012.png
73,44,42,6,5,39,37,20,data/Train/20/00020_00002_00013.png
74,45,44,6,6,40,39,20,data/Train/20/00020_00002_00014.png
75,47,46,5,6,42,41,20,data/Train/20/00020_00002_00015.png
76,49,46,6,5,44,41,20,data/Train/20/00020_00002_00016.png
77,50,48,6,6,45,43,20,data/Train/20/00020_00002_00017.png
78,52,51,5,6,47,46,20,data/Train/20/00020_00002_00018.png
79,55,52,6,5,50,47,20,data/Train/20/00020_00002_00019.png
80,56,53,6,5,51,48,20,data/Train/20/00020_00002_00020.png
81,58,57,5,6,53,52,20,data/Train/20/00020_00002_00021.png
82,61,59,6,6,56,53,20,data/Train/20/00020_00002_00022.png
83,63,59,6,5,58,54,20,data/Train/20/00020_00002_00023.png
